sendText,top_row,bottom_row,thumb_row
Backspace,0000,0000,10
Space,0000,0000,01
r,1000,0000,00
R,1000,0000,10
>,1000,0000,01
Print Screen,1000,0000,11
s,0100,0000,00
S,0100,0000,10
},0100,0000,01
Brightness Up,0100,0000,11
n,0010,0000,00
N,0010,0000,10
],0010,0000,01
Brightness Down,0010,0000,11
i,0001,0000,00
I,0001,0000,10
),0001,0000,01
Play/Pause,0001,0000,11
a,0000,1000,00
A,0000,1000,10
<,0000,1000,01
Next Track,0000,1000,11
o,0000,0100,00
O,0000,0100,10
{,0000,0100,01
Volume Up,0000,0100,11
t,0000,0010,00
T,0000,0010,10
[,0000,0010,01
Volume Down,0000,0010,11
e,0000,0001,00
E,0000,0001,10
(,0000,0001,01
Previous Track,0000,0001,11
b,1100,0000,00
B,1100,0000,10
9,1100,0000,01
F9,1100,0000,11
l,0000,1100,00
L,0000,1100,10
4,0000,1100,01
F4,0000,1100,11
p,0110,0000,00
P,0110,0000,10
7,0110,0000,01
F7,0110,0000,11
g,1001,0000,00
G,1001,0000,10
#,1001,0000,01
F12,1001,0000,11
z,1010,0000,00
Z,1010,0000,10
8,1010,0000,01
F8,1010,0000,11
q,0000,1010,00
Q,0000,1010,10
3,0000,1010,01
F3,0000,1010,11
x,1000,0010,00
X,1000,0010,10
^,1000,0010,01
Cut,1000,0010,11
v,0100,0001,00
V,0100,0001,10
*,0100,0001,01
Paste,0100,0001,11
m,1000,0001,00
M,1000,0001,10
$,1000,0001,01
y,0011,0000,00
Y,0011,0000,10
5,0011,0000,01
F5,0011,0000,11
h,0000,0011,00
H,0000,0011,10
0,0000,0011,01
F10,0000,0011,11
u,0000,0110,00
U,0000,0110,10
2,0000,0110,01
F2,0000,0110,11
d,0000,1001,00
D,0000,1001,10
@,0000,1001,01
F11,0000,1001,11
f,0101,0000,00
F,0101,0000,10
6,0101,0000,01
F6,0101,0000,11
c,0000,0101,00
C,0000,0101,10
1,0000,0101,01
F1,0000,0101,11
k,0001,0100,00
K,0001,0100,10
+,0001,0100,01
Copy,0001,0100,11
j,0010,1000,00
J,0010,1000,10
=,0010,1000,01
Undo,0010,1000,11
w,0001,1000,00
W,0001,1000,10
&,0001,1000,01
/,0100,0010,00
\,0100,0010,10
|,0100,0010,01
;,1000,0100,00
:,1000,0100,10
",",0010,0001,00
.,0010,0001,10
~,0010,0001,01
-,0010,0100,00
_,0010,0100,10
%,0010,0100,01
?,0001,0010,00
!,0001,0010,10
',0100,1000,00
"""",0100,1000,10
`,0100,1000,01
,,,
Manual edit:,,,
Gui,1000,1000,00
Right,1000,1000,10
PgUp,1000,1000,01
,,,
Shift,0001,0001,00
Left,0001,0001,10
PgDn,0001,0001,01
,,,
Alt,0100,0100,00
Up,0100,0100,10
Home,0100,0100,01
,,,
Ctrl,0010,0010,00
Down,0010,0010,10
End,0010,0010,01
,,,
Tab,0111,0000,00
Del,0111,0000,10
Ins,0111,0000,01
,,,
Enter,0000,0111,00
Esc,0000,0111,10
AltGr,0000,0111,01
