sendText,top_row,bottom_row,thumb_row,,,,,,,,,,,,,,,,,,,,
Backspace,0000,0000,10,,b,1100,0000,00,,y,0011,0000,00,,/,0100,0010,00,,-,0010,0100,00
Space,0000,0000,01,,B,1100,0000,10,,Y,0011,0000,10,,\,0100,0010,10,,_,0010,0100,10
r,1000,0000,00,,9,1100,0000,01,,5,0011,0000,01,,|,0100,0010,01,,%,0010,0100,01
R,1000,0000,10,,l,0000,1100,00,,h,0000,0011,00,,;,1000,0100,00,,?,0001,0010,00
>,1000,0000,01,,L,0000,1100,10,,H,0000,0011,10,,:,1000,0100,10,,!,0001,0010,10
s,0100,0000,00,,4,0000,1100,01,,0,0000,0011,01,,",",0010,0001,00,,',0100,1000,00
S,0100,0000,10,,p,0110,0000,00,,u,0000,0110,00,,.,0010,0001,10,,"""",0100,1000,10
},0100,0000,01,,P,0110,0000,10,,U,0000,0110,10,,~,0010,0001,01,,`,0100,1000,01
n,0010,0000,00,,7,0110,0000,01,,2,0000,0110,01,,,,,,,`,0100,1000,01
N,0010,0000,10,,g,1001,0000,00,,d,0000,1001,00,,,,,,,,,,
],0010,0000,01,,G,1001,0000,10,,D,0000,1001,10,,Tab,0111,0000,00,,,,,
i,0001,0000,00,,#,1001,0000,01,,@,0000,1001,01,,Del,0111,0000,10,,,,,
I,0001,0000,10,,z,1010,0000,00,,f,0101,0000,00,,Enter,0000,0111,00,,,,,
),0001,0000,01,,Z,1010,0000,10,,F,0101,0000,10,,Esc,0000,0111,10,,,,,
Play/Pause,0001,0000,11,,8,1010,0000,01,,6,0101,0000,01,,,,,,,,,,
a,0000,1000,00,,q,0000,1010,00,,c,0000,0101,00,,,,,,,,,,
A,0000,1000,10,,Q,0000,1010,10,,C,0000,0101,10,,,,,,,,,,
<,0000,1000,01,,3,0000,1010,01,,1,0000,0101,01,,,,,,,,,,
Next Track,0000,1000,11,,x,1000,0010,00,,k,0001,0100,00,,,,,,,,,,
o,0000,0100,00,,X,1000,0010,10,,K,0001,0100,10,,,,,,,,,,
O,0000,0100,10,,^,1000,0010,01,,+,0001,0100,01,,,,,,,,,,
{,0000,0100,01,,Cut,1000,0010,11,,Copy,0001,0100,11,,,,,,,,,,
Volume Up,0000,0100,11,,v,0100,0001,00,,j,0010,1000,00,,,,,,,,,,
t,0000,0010,00,,V,0100,0001,10,,J,0010,1000,10,,,,,,,,,,
T,0000,0010,10,,*,0100,0001,01,,=,0010,1000,01,,,,,,,,,,
[,0000,0010,01,,Paste,0100,0001,11,,Undo,0010,1000,11,,,,,,,,,,
Volume Down,0000,0010,11,,m,1000,0001,00,,w,0001,1000,00,,,,,,,,,,
e,0000,0001,00,,M,1000,0001,10,,W,0001,1000,10,,,,,,,,,,
E,0000,0001,10,,$,1000,0001,01,,&,0001,1000,01,,,,,,,,,,
(,0000,0001,01,,,,,,,,,,,,,,,,,,,,
Previous Track,0000,0001,11,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
