bin_code,sendText,rust_action,include,textType,notes,matches
100000,a,Simple(Keyboard::A),Y,alpha,,y
1100000000,b,Simple(Keyboard::B),Y,alpha,,y
10100,c,Simple(Keyboard::C),Y,alpha,,y
100100,d,Simple(Keyboard::D),Y,alpha,,y
100,e,Simple(Keyboard::E),Y,alpha,,y
101000000,f,Simple(Keyboard::F),Y,alpha,,y
1001000000,g,Simple(Keyboard::G),Y,alpha,,y
1100,h,Simple(Keyboard::H),Y,alpha,,y
1000000,i,Simple(Keyboard::I),Y,alpha,,y
10100000,j,Simple(Keyboard::J),Y,alpha,,y
1010000,k,Simple(Keyboard::K),Y,alpha,,y
110000,l,Simple(Keyboard::L),Y,alpha,,y
1000000100,m,Simple(Keyboard::M),Y,alpha,,y
10000000,n,Simple(Keyboard::N),Y,alpha,,y
10000,o,Simple(Keyboard::O),Y,alpha,,y
110000000,p,Simple(Keyboard::P),Y,alpha,,y
101000,q,Simple(Keyboard::Q),Y,alpha,,y
1000000000,r,Simple(Keyboard::R),Y,alpha,,y
100000000,s,Simple(Keyboard::S),Y,alpha,,y
1000,t,Simple(Keyboard::T),Y,alpha,,y
11000,u,Simple(Keyboard::U),Y,alpha,,y
100000100,v,Simple(Keyboard::V),Y,alpha,,y
1100000,w,Simple(Keyboard::W),Y,alpha,,y
1000001000,x,Simple(Keyboard::X),Y,alpha,,y
11000000,y,Simple(Keyboard::Y),Y,alpha,,y
1010000000,z,Simple(Keyboard::Z),Y,alpha,,y
100010,A,Shifted(Keyboard::A),Y,alpha_cap,,y
1100000010,B,Shifted(Keyboard::B),Y,alpha_cap,,y
10110,C,Shifted(Keyboard::C),Y,alpha_cap,,y
100110,D,Shifted(Keyboard::D),Y,alpha_cap,,y
110,E,Shifted(Keyboard::E),Y,alpha_cap,,y
101000010,F,Shifted(Keyboard::F),Y,alpha_cap,,y
1001000010,G,Shifted(Keyboard::G),Y,alpha_cap,,y
1110,H,Shifted(Keyboard::H),Y,alpha_cap,,y
1000010,I,Shifted(Keyboard::I),Y,alpha_cap,,y
10100010,J,Shifted(Keyboard::J),Y,alpha_cap,,y
1010010,K,Shifted(Keyboard::K),Y,alpha_cap,,y
110010,L,Shifted(Keyboard::L),Y,alpha_cap,,y
1000000110,M,Shifted(Keyboard::M),Y,alpha_cap,,y
10000010,N,Shifted(Keyboard::N),Y,alpha_cap,,y
10010,O,Shifted(Keyboard::O),Y,alpha_cap,,y
110000010,P,Shifted(Keyboard::P),Y,alpha_cap,,y
101010,Q,Shifted(Keyboard::Q),Y,alpha_cap,,y
1000000010,R,Shifted(Keyboard::R),Y,alpha_cap,,y
100000010,S,Shifted(Keyboard::S),Y,alpha_cap,,y
1010,T,Shifted(Keyboard::T),Y,alpha_cap,,y
11010,U,Shifted(Keyboard::U),Y,alpha_cap,,y
100000110,V,Shifted(Keyboard::V),Y,alpha_cap,,y
1100010,W,Shifted(Keyboard::W),Y,alpha_cap,,y
1000001010,X,Shifted(Keyboard::X),Y,alpha_cap,,y
11000010,Y,Shifted(Keyboard::Y),Y,alpha_cap,,y
1010000010,Z,Shifted(Keyboard::Z),Y,alpha_cap,,y
10001010,Down,Simple(Keyboard::DownArrow),N,arrow,,y
1000110,Left,Simple(Keyboard::LeftArrow),N,arrow,,y
1000100010,Right,Simple(Keyboard::RightArrow),N,arrow,,y
100010010,Up,Simple(Keyboard::UpArrow),N,arrow,,y
10111,F1,Simple(Keyboard::F1),N,F-key,,y
1111,F10,Simple(Keyboard::F10),N,F-key,,y
100111,F11,,N,F-key,,not implemented
1001000011,F12,,N,F-key,,not implemented
11011,F2,Simple(Keyboard::F2),N,F-key,,y
101011,F3,Simple(Keyboard::F3),N,F-key,,y
110011,F4,Simple(Keyboard::F4),N,F-key,,y
11000011,F5,Simple(Keyboard::F5),N,F-key,,y
101000011,F6,Simple(Keyboard::F6),N,F-key,,y
110000011,F7,Simple(Keyboard::F7),N,F-key,,y
1010000011,F8,Simple(Keyboard::F8),N,F-key,,y
1100000011,F9,Simple(Keyboard::F9),N,F-key,,y
1000111,Layer 0,,N,layer,,not implemented
10001011,Layer 1,,N,layer,,not implemented
100010011,Layer 2,,N,layer,,not implemented
1000100011,Layer 3,,N,layer,,not implemented
100010000,Alt,OneShot(Mods::ALT),N,modifier,,y
