R,S,N,I,A,O,T,E,0,1,chart_row,sendText
0,0,0,0,0,0,0,0,0,0,0.0,Mu
1,0,0,0,0,0,0,0,0,0,1.0,r
0,1,0,0,0,0,0,0,0,0,2.0,s
0,0,1,0,0,0,0,0,0,0,3.0,n
0,0,0,1,0,0,0,0,0,0,4.0,i
0,0,0,0,1,0,0,0,0,0,5.0,a
0,0,0,0,0,1,0,0,0,0,6.0,o
0,0,0,0,0,0,1,0,0,0,7.0,t
0,0,0,0,0,0,0,1,0,0,8.0,e
0,0,0,0,0,1,0,1,0,0,26.0,c
0,0,0,0,0,1,1,0,0,0,23.0,u
0,0,0,0,1,0,1,0,0,0,16.0,q
0,0,0,0,1,1,0,0,0,0,12.0,l
0,0,1,1,0,0,0,0,0,0,21.0,y
0,1,0,1,0,0,0,0,0,0,25.0,f
0,1,1,0,0,0,0,0,0,0,13.0,p
1,0,1,0,0,0,0,0,0,0,15.0,z
1,1,0,0,0,0,0,0,0,0,11.0,b
0,0,0,0,0,0,1,1,0,0,22.0,h
0,0,0,0,1,0,0,1,0,0,24.0,d
1,0,0,1,0,0,0,0,0,0,14.0,g
1,0,0,0,0,0,1,0,0,0,17.0,x
0,0,0,1,0,1,0,0,0,0,27.0,k
0,1,0,0,0,0,0,1,0,0,18.0,v
0,0,1,0,1,0,0,0,0,0,28.0,j
1,0,0,0,0,0,0,1,0,0,19.0,m
0,0,0,1,1,0,0,0,0,0,29.0,w
0,1,0,0,0,0,1,0,0,0,31.0,/
0,0,1,0,0,1,0,0,0,0,41.0,-
0,0,0,1,0,0,1,0,0,0,42.0,?
0,0,1,0,0,0,0,1,0,0,33.0,","
1,0,0,0,0,1,0,0,0,0,32.0,;
0,1,0,0,1,0,0,0,0,0,43.0,'
0,1,1,1,0,0,0,0,0,0,46.0,Tab
0,0,0,0,0,1,1,1,0,0,47.0,Enter
1,0,0,0,1,0,0,0,0,0,34.0,Gui
0,1,0,0,0,1,0,0,0,0,35.0,Alt
0,0,1,0,0,0,1,0,0,0,45.0,Ctrl
0,0,0,1,0,0,0,1,0,0,44.0,Shift
0,0,0,0,0,0,0,0,1,0,0.0,Backspace
1,0,0,0,0,0,0,0,1,0,1.0,R
0,1,0,0,0,0,0,0,1,0,2.0,S
0,0,1,0,0,0,0,0,1,0,3.0,N
0,0,0,1,0,0,0,0,1,0,4.0,I
0,0,0,0,1,0,0,0,1,0,5.0,A
0,0,0,0,0,1,0,0,1,0,6.0,O
0,0,0,0,0,0,1,0,1,0,7.0,T
0,0,0,0,0,0,0,1,1,0,8.0,E
0,0,0,0,0,1,0,1,1,0,26.0,C
0,0,0,0,0,1,1,0,1,0,23.0,U
0,0,0,0,1,0,1,0,1,0,16.0,Q
0,0,0,0,1,1,0,0,1,0,12.0,L
0,0,1,1,0,0,0,0,1,0,21.0,Y
0,1,0,1,0,0,0,0,1,0,25.0,F
0,1,1,0,0,0,0,0,1,0,13.0,P
1,0,1,0,0,0,0,0,1,0,15.0,Z
1,1,0,0,0,0,0,0,1,0,11.0,B
0,0,0,0,0,0,1,1,1,0,22.0,H
0,0,0,0,1,0,0,1,1,0,24.0,D
1,0,0,1,0,0,0,0,1,0,14.0,G
1,0,0,0,0,0,1,0,1,0,17.0,X
0,0,0,1,0,1,0,0,1,0,27.0,K
0,1,0,0,0,0,0,1,1,0,18.0,V
0,0,1,0,1,0,0,0,1,0,28.0,J
1,0,0,0,0,0,0,1,1,0,19.0,M
0,0,0,1,1,0,0,0,1,0,29.0,W
0,1,0,0,0,0,1,0,1,0,31.0,\
0,0,1,0,0,1,0,0,1,0,41.0,_
0,0,0,1,0,0,1,0,1,0,42.0,!
0,0,1,0,0,0,0,1,1,0,33.0,.
1,0,0,0,0,1,0,0,1,0,32.0,:
0,1,0,0,1,0,0,0,1,0,43.0,""""
0,1,1,1,0,0,0,0,1,0,46.0,Del
0,0,0,0,0,1,1,1,1,0,47.0,Esc
1,0,0,0,1,0,0,0,1,0,34.0,Right
0,1,0,0,0,1,0,0,1,0,35.0,Up
0,0,1,0,0,0,1,0,1,0,45.0,Down
0,0,0,1,0,0,0,1,1,0,44.0,Left
0,0,0,0,0,0,0,0,0,1,0.0,Space
1,0,0,0,0,0,0,0,0,1,1.0,>
0,1,0,0,0,0,0,0,0,1,2.0,}
0,0,1,0,0,0,0,0,0,1,3.0,]
0,0,0,1,0,0,0,0,0,1,4.0,)
0,0,0,0,1,0,0,0,0,1,5.0,<
0,0,0,0,0,1,0,0,0,1,6.0,{
0,0,0,0,0,0,1,0,0,1,7.0,[
0,0,0,0,0,0,0,1,0,1,8.0,(
0,0,0,0,0,1,0,1,0,1,26.0,1
0,0,0,0,0,1,1,0,0,1,23.0,2
0,0,0,0,1,0,1,0,0,1,16.0,3
0,0,0,0,1,1,0,0,0,1,12.0,4
