R,S,N,I,A,O,T,E,0,1,rust_action
0,0,0,0,0,0,0,0,1,0,Simple(Keyboard::Space)
0,0,0,0,0,0,0,0,0,1,Simple(Keyboard::DeleteBackspace)
0,0,0,0,0,0,0,0,1,1,Release
0,1,1,1,0,0,0,0,0,0,Simple(Keyboard::Tab)
0,1,1,1,0,0,0,0,1,0,Simple(Keyboard::DeleteForward)
0,1,1,1,0,0,0,0,0,1,Simple(Keyboard::Insert)
0,0,0,0,0,1,1,1,0,0,Simple(Keyboard::ReturnEnter)
0,0,0,0,0,1,1,1,1,0,Simple(Keyboard::Escape)
0,0,0,0,1,0,0,0,0,0,Simple(Keyboard::A)
0,0,0,0,1,0,0,0,1,0,Shifted(Keyboard::A)
0,0,0,0,1,0,0,0,0,1,Shifted(Keyboard::Comma)
0,0,0,0,0,1,0,0,0,0,Simple(Keyboard::O)
0,0,0,0,0,1,0,0,1,0,Shifted(Keyboard::O)
0,0,0,0,0,1,0,0,0,1,Shifted(Keyboard::LeftBrace)
0,0,0,0,0,0,1,0,0,0,Simple(Keyboard::T)
0,0,0,0,0,0,1,0,1,0,Shifted(Keyboard::T)
0,0,0,0,0,0,1,0,0,1,Simple(Keyboard::LeftBrace)
0,0,0,0,0,0,0,1,0,0,Simple(Keyboard::E)
0,0,0,0,0,0,0,1,1,0,Shifted(Keyboard::E)
0,0,0,0,0,0,0,1,0,1,Shifted(Keyboard::Keyboard9)
1,0,0,0,0,0,0,0,0,0,Simple(Keyboard::R)
1,0,0,0,0,0,0,0,1,0,Shifted(Keyboard::R)
1,0,0,0,0,0,0,0,0,1,Shifted(Keyboard::Dot)
0,1,0,0,0,0,0,0,0,0,Simple(Keyboard::S)
0,1,0,0,0,0,0,0,1,0,Shifted(Keyboard::S)
0,1,0,0,0,0,0,0,0,1,Shifted(Keyboard::RightBrace)
0,0,1,0,0,0,0,0,0,0,Simple(Keyboard::N)
0,0,1,0,0,0,0,0,1,0,Shifted(Keyboard::N)
0,0,1,0,0,0,0,0,0,1,Simple(Keyboard::RightBrace)
0,0,0,1,0,0,0,0,0,0,Simple(Keyboard::I)
0,0,0,1,0,0,0,0,1,0,Shifted(Keyboard::I)
0,0,0,1,0,0,0,0,0,1,Shifted(Keyboard::Keyboard0)
0,0,1,1,0,0,0,0,0,0,Simple(Keyboard::Y)
0,0,1,1,0,0,0,0,1,0,Shifted(Keyboard::Y)
0,0,1,1,0,0,0,0,0,1,Simple(Keyboard::Keyboard5)
0,0,0,0,0,0,1,1,0,0,Simple(Keyboard::H)
0,0,0,0,0,0,1,1,1,0,Shifted(Keyboard::H)
0,0,0,0,0,0,1,1,0,1,Simple(Keyboard::Keyboard0)
0,0,0,0,0,1,1,0,0,0,Simple(Keyboard::U)
0,0,0,0,0,1,1,0,1,0,Shifted(Keyboard::U)
0,0,0,0,0,1,1,0,0,1,Simple(Keyboard::Keyboard2)
0,0,0,0,1,0,0,1,0,0,Simple(Keyboard::D)
0,0,0,0,1,0,0,1,1,0,Shifted(Keyboard::D)
0,0,0,0,1,0,0,1,0,1,Shifted(Keyboard::Keyboard2)
0,1,0,1,0,0,0,0,0,0,Simple(Keyboard::F)
0,1,0,1,0,0,0,0,1,0,Shifted(Keyboard::F)
0,1,0,1,0,0,0,0,0,1,Simple(Keyboard::Keyboard6)
0,0,0,0,0,1,0,1,0,0,Simple(Keyboard::C)
0,0,0,0,0,1,0,1,1,0,Shifted(Keyboard::C)
0,0,0,0,0,1,0,1,0,1,Simple(Keyboard::Keyboard1)
0,0,0,1,0,1,0,0,0,0,Simple(Keyboard::K)
0,0,0,1,0,1,0,0,1,0,Shifted(Keyboard::K)
0,0,0,1,0,1,0,0,0,1,Shifted(Keyboard::Equal)
0,0,1,0,1,0,0,0,0,0,Simple(Keyboard::J)
0,0,1,0,1,0,0,0,1,0,Shifted(Keyboard::J)
0,0,1,0,1,0,0,0,0,1,Simple(Keyboard::Equal)
0,0,0,1,1,0,0,0,0,0,Simple(Keyboard::W)
0,0,0,1,1,0,0,0,1,0,Shifted(Keyboard::W)
0,0,0,1,1,0,0,0,0,1,Shifted(Keyboard::Keyboard7)
1,1,0,0,0,0,0,0,0,0,Simple(Keyboard::B)
1,1,0,0,0,0,0,0,1,0,Shifted(Keyboard::B)
1,1,0,0,0,0,0,0,0,1,Simple(Keyboard::Keyboard9)
0,0,0,0,1,1,0,0,0,0,Simple(Keyboard::L)
0,0,0,0,1,1,0,0,1,0,Shifted(Keyboard::L)
0,0,0,0,1,1,0,0,0,1,Simple(Keyboard::Keyboard4)
0,1,1,0,0,0,0,0,0,0,Simple(Keyboard::P)
0,1,1,0,0,0,0,0,1,0,Shifted(Keyboard::P)
0,1,1,0,0,0,0,0,0,1,Simple(Keyboard::Keyboard7)
1,0,0,1,0,0,0,0,0,0,Simple(Keyboard::G)
1,0,0,1,0,0,0,0,1,0,Shifted(Keyboard::G)
1,0,0,1,0,0,0,0,0,1,Shifted(Keyboard::Keyboard3)
1,0,1,0,0,0,0,0,0,0,Simple(Keyboard::Z)
1,0,1,0,0,0,0,0,1,0,Shifted(Keyboard::Z)
1,0,1,0,0,0,0,0,0,1,Simple(Keyboard::Keyboard8)
0,0,0,0,1,0,1,0,0,0,Simple(Keyboard::Q)
0,0,0,0,1,0,1,0,1,0,Shifted(Keyboard::Q)
0,0,0,0,1,0,1,0,0,1,Simple(Keyboard::Keyboard3)
1,0,0,0,0,0,1,0,0,0,Simple(Keyboard::X)
1,0,0,0,0,0,1,0,1,0,Shifted(Keyboard::X)
1,0,0,0,0,0,1,0,0,1,Shifted(Keyboard::Keyboard6)
0,1,0,0,0,0,0,1,0,0,Simple(Keyboard::V)
0,1,0,0,0,0,0,1,1,0,Shifted(Keyboard::V)
0,1,0,0,0,0,0,1,0,1,Shifted(Keyboard::Keyboard8)
1,0,0,0,0,0,0,1,0,0,Simple(Keyboard::M)
1,0,0,0,0,0,0,1,1,0,Shifted(Keyboard::M)
1,0,0,0,0,0,0,1,0,1,Shifted(Keyboard::Keyboard4)
0,1,0,0,0,0,1,0,0,0,Simple(Keyboard::ForwardSlash)
0,1,0,0,0,0,1,0,1,0,Simple(Keyboard::Backslash)
0,1,0,0,0,0,1,0,0,1,Shifted(Keyboard::Backslash)
0,0,1,0,0,1,0,0,0,0,Simple(Keyboard::Minus)
0,0,1,0,0,1,0,0,1,0,Shifted(Keyboard::Minus)
0,0,1,0,0,1,0,0,0,1,Shifted(Keyboard::Keyboard5)
1,0,0,0,0,1,0,0,0,0,Simple(Keyboard::Semicolon)
1,0,0,0,0,1,0,0,1,0,Shifted(Keyboard::Semicolon)
0,0,0,1,0,0,1,0,0,0,Shifted(Keyboard::ForwardSlash)
0,0,0,1,0,0,1,0,1,0,Shifted(Keyboard::Keyboard1)
0,0,1,0,0,0,0,1,0,0,Simple(Keyboard::Comma)
0,0,1,0,0,0,0,1,1,0,Simple(Keyboard::Dot)
0,0,1,0,0,0,0,1,0,1,Shifted(Keyboard::Grave)
0,1,0,0,1,0,0,0,0,0,Simple(Keyboard::Apostrophe)
0,1,0,0,1,0,0,0,1,0,Shifted(Keyboard::Apostrophe)
0,1,0,0,1,0,0,0,0,1,Simple(Keyboard::Grave)
0,0,0,1,0,0,0,1,0,0,OneShot(Mods::SHIFT)
0,0,0,1,0,0,0,1,1,0,Simple(Keyboard::LeftArrow)
0,0,0,1,0,0,0,1,0,1,Simple(Keyboard::PageDown)
1,0,0,0,1,0,0,0,0,0,OneShot(Mods::GUI)
1,0,0,0,1,0,0,0,1,0,Simple(Keyboard::RightArrow)
1,0,0,0,1,0,0,0,0,1,Simple(Keyboard::PageUp)
0,0,1,0,0,0,1,0,0,0,OneShot(Mods::CONTROL)
0,0,1,0,0,0,1,0,1,0,Simple(Keyboard::DownArrow)
0,0,1,0,0,0,1,0,0,1,Simple(Keyboard::End)
0,1,0,0,0,1,0,0,0,0,OneShot(Mods::ALT)
0,1,0,0,0,1,0,0,1,0,Simple(Keyboard::UpArrow)
0,1,0,0,0,1,0,0,0,1,Simple(Keyboard::Home)
0,0,0,0,0,0,1,1,1,1,Simple(Keyboard::F10)
0,0,0,0,0,1,0,1,1,1,Simple(Keyboard::F1)
0,0,0,0,0,1,1,0,1,1,Simple(Keyboard::F2)
0,0,0,0,1,0,1,0,1,1,Simple(Keyboard::F3)
0,0,0,0,1,1,0,0,1,1,Simple(Keyboard::F4)
0,0,1,1,0,0,0,0,1,1,Simple(Keyboard::F5)
0,1,0,1,0,0,0,0,1,1,Simple(Keyboard::F6)
0,1,1,0,0,0,0,0,1,1,Simple(Keyboard::F7)
1,0,1,0,0,0,0,0,1,1,Simple(Keyboard::F8)
1,1,0,0,0,0,0,0,1,1,Simple(Keyboard::F9)
0,1,0,0,0,0,0,1,1,1,Simple(Keyboard::F11)
0,0,0,1,1,0,0,0,1,1,Simple(Keyboard::F12)
