sendText,stenoKeyString
r,'-T
s,'-L
n,'-P
i,'-F
a,'-S
o,'-G
t,'-B
e,'-R
c,'-RG
u,'-BG
q,'-BS
l,'-GS
y,'-FP
f,'-FL
p,'-PL
z,'-PT
b,'-LT
h,'-RB
d,'-RS
g,'-FT
x,'-BT
k,'-FG
v,'-RL
j,'-PS
m,'-RT
w,'-FS
/,'-BL
-,'-PG
?,'-FB
",",'-RP
;,'-GT
','-LS
R,'-UT
S,'-UL
N,'-UP
I,'-UF
A,'-US
O,'-UG
T,'-UB
E,'-UR
C,'-URG
U,'-UBG
Q,'-UBS
L,'-UGS
Y,'-UFP
P,'-UPL
Z,'-UPT
B,'-ULT
H,'-URB
D,'-URS
G,'-UFT
X,'-UBT
V,'-URL
J,'-UPS
M,'-URT
W,'-UFS
\,'-UBL
_,'-UPG
!,'-UFB
.,'-URP
:,'-UGT
"""",'-ULS
>,'-ET
},'-EL
],'-EP
),'-EF
<,'-ES
{,'-EG
[,'-EB
(,'-ER
1,'-ERG
2,'-EBG
3,'-EBS
4,'-EGS
6,'-EFL
7,'-EPL
9,'-ELT
0,'-ERB
@,'-ERS
#,'-EFT
^,'-EBT
+,'-EFG
*,'-ERL
=,'-EPS
$,'-ERT
&,'-EFS
|,'-EBL
%,'-EPG
~,'-ERP
`,'-ELS
F,'-UFL
K,'-UFG
5,'-EFP
8,'-EPT
